Title,Description,Link,Date,StartDate,EndDate,Location
Predavanje: Zeliščni vrt,"Tretje predavanje iz sklopa Zelena knjižnica. Naša gostja bo Nevenka Breznik, univ. dipl. inž. agronomije, s predavanjem o zeliščnem vrtu. Dobimo se v prireditvenem prostoru pri klavirju.",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-03-11/2024022910120039/predavanje:-zeliscni-vrt/,"Monday, 11. March 2024",2024-03-11T18:00:00+01:00,2024-03-11T19:00:00+01:00,"

					Goriška knjižnica Franceta Bevka Nova Gorica
				"
Odprtje razstave ob 80-letnici Stanka Vuka,Odprtje razstave ob 80-letnici Stanka Vuka.,https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-03-11/2024022911550005/odprtje-razstave-ob-80letnici-stanka-vuka/,"Monday, 11. March 2024",2024-03-11T19:00:00+01:00,,"

					Krajevna knjižnica Miren
				"
Predavanje: Zeliščna pomlad,"V okviru Tedna knjižnice semen nam bo Nataša Mohorčič predstavila nekatere vrste zelišč, njihove zdravilne lastnosti, zanimivosti ter uporabo v praksi. Izvedeli bomo veliko zanimivosti in priročnih informacij, zato vas vljudno vabimo, da se nam pridružite.  ",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-03-11/2024030613471569/predavanje:-zeliscna-pomlad/,"Monday, 11. March 2024",2024-03-11T18:30:00+01:00,,"

					Lavričeva knjižnica Ajdovščina
				"
Razstava Rachele Gigli: Mikorize,"Rachele Gigli je prevajalka in večplastna ustvarjalka, živi v Gradežu v Italiji. Izmika se vsakemu poskusu klasifikacije, zanima jo vizualna umetnost v vseh njenih vidikih, vključno z video umetnostjo. Od malega je živela v spodbudnem okolju, od mame se je naučila ceniti slikanje in risanje, v čare fotografije jo je uvedel oče. V družinskem okolju ji je bilo, poleg umetnosti, prenešeno tudi znanje o divjih zeliščih, gobah in zametkih mikologije. Narava in veselje do njenega odkrivanja in raziskovanja je še ena njena velika strast, ki je del njenega vsakdana. Diplomirala je iz tujih jezikov in književnosti in ima različne izkušnje kot prevajalka. Že nekaj let se približuje estetiki stripa.",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-01-27/2024020610510787/razstava-rachele-gigli:-mikorize/,"Saturday, 27. January 2024 - Wednesday, 20. March 2024",,,"

					Klub Štala, Lokavec 45
				"
3. mednarodni extempore In vendar oživi,Svoja dela razstavlja 33 umetnikov iz Slovenije in Italije. Razstava bo na ogled do 30. 4. 2024.,https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-02-08/2024020709321811/3-mednarodni-extempore-in-vendar-ozivi/,"Thursday, 08. February 2024 - Tuesday, 30. April 2024",,,"

					Točka ZKD Nova Gorica, Gradnikove brigade 25, Nova Gorica
				"
Likovna razstava Bojana Kovača,"Bojan Kovač, član likovne delavnice Društva MOST, se na četrti samostojni likovni razstavi z naslovom »Še vedno svet je črno bel in mavrica je utvara« predstavljal s ciklusom portretov, živalskih likov in človeških figur v tehniki oglje-papir. Razstava je na ogled do ponedeljka, 11. marca, v dopoldanskem času oziroma po dogovoru.",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-02-10/2024020111512796/likovna-razstava-bojana-kovaca/,"Saturday, 10. February 2024 - Monday, 11. March 2024",,,"

					dvorana Društva MOST
				"
Razstava: Hotel Sabotin skozi čas,"V letošnjem letu hotel Sabotin obeležuje 70-letnico. Ob tej priložnosti so v avli hotela Sabotin na ogled postavili razstavo reprodukcij starih dokumentov in fotografij, ki bo na ogled do 31. marca.",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-02-14/2024021510385499/razstava:-hotel-sabotin-skozi-cas/,"Wednesday, 14. February 2024 - Sunday, 31. March 2024",,,"

					Hotel Sabotin, Solkan
				"
Razstava: Miran Kordež 1962–2023,"Urnik:  torek–sobota: 15.00–19.00 sobota, nedelja, prazniki: zaprto",https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-02-15/2024022009112425/razstava:-miran-kordez-1962–2023/,"Thursday, 15. February 2024 - Wednesday, 13. March 2024",,,"

					Lokarjeva galerija, Ajdovščina
				"
Razstava: Stanka Golob: Slike iz peska,Razstava likovnih del Stanke Golob v osrednjem razstavnem prostoru Goriške knjižnice.,https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-03-04/2024022915370109/razstava:-stanka-golob:-slike-iz-peska/,"Monday, 04. March 2024 - Friday, 29. March 2024",,,"

					Goriška knjižnica Franceta Bevka Nova Gorica
				"
Razstava: Janko Samsa: Lokomotive od nekoč do danes,Razstava maket železniških lokomotiv v lesu v razstavnem prostoru pri klavirju.,https://dogodki.turizem-novagorica-vipavskadolina.si/sl/koledar-dogodkov/2024-03-04/2024022915392121/razstava:-janko-samsa:-lokomotive-od-nekoc-do-danes/,"Monday, 04. March 2024 - Friday, 29. March 2024",,,"

					Goriška knjižnica Franceta Bevka Nova Gorica
				"
